lead_variant	distance	gene	chrom	start	end	extreme_pLI	brain_enriched_expression	neurodevelopmental_disorder	PsyOPS_score
rs200441	0	DNAJC11	chr1	6694228	6761984	True	False	False	0.21161874440619363
rs200441	16295	THAP3	chr1	6684928	6695646	False	False	False	0.08273908370636998
rs200441	27851	PHF13	chr1	6673791	6684090	False	False	False	0.08273908370636998
rs200441	37274	KLHL21	chr1	6650784	6674667	False	False	True	0.23708089352715983
rs200441	62601	ZBTB48	chr1	6640054	6649340	False	False	False	0.08273908370636998
rs200441	72126	TAS1R1	chr1	6615367	6639815	False	False	False	0.08273908370636998
rs200441	97368	NOL9	chr1	6581407	6614573	False	False	False	0.08273908370636998
rs200441	131807	PLEKHG5	chr1	6527182	6580134	False	True	False	0.17679031224038508
rs200441	133573	CAMTA1	chr1	6845514	7829766	True	False	True	0.4804484139783801
rs200441	185706	TNFRSF25	chr1	6520846	6526235	False	True	False	0.17679031224038508
rs200441	190514	ESPN	chr1	6484836	6521427	False	False	False	0.08273908370636998
rs200441	227211	HES2	chr1	6472478	6484730	False	False	False	0.08273908370636998
rs200441	258114	ACOT7	chr1	6324329	6453827	False	True	False	0.17679031224038508
rs200441	390783	GPR153	chr1	6307413	6321158	False	False	False	0.08273908370636998
rs200441	406303	HES3	chr1	6304239	6305638	False	False	False	0.08273908370636998
rs200441	415909	ICMT	chr1	6281253	6296032	False	False	False	0.08273908370636998
rs200441	430582	RNF207	chr1	6265535	6281359	False	False	False	0.08273908370636998
rs200441	442492	RPL22	chr1	6245080	6269449	False	False	False	0.08273908370636998
rs200441	471560	CHD5	chr1	6161847	6240381	True	True	False	0.3898977023687237
rs3789572	0	DNAJC11	chr1	6694228	6761984	True	False	False	0.21161874440619363
rs3789572	36922	THAP3	chr1	6684928	6695646	False	False	False	0.08273908370636998
rs3789572	48478	PHF13	chr1	6673791	6684090	False	False	False	0.08273908370636998
rs3789572	57901	KLHL21	chr1	6650784	6674667	False	False	True	0.23708089352715983
rs3789572	83228	ZBTB48	chr1	6640054	6649340	False	False	False	0.08273908370636998
rs3789572	92753	TAS1R1	chr1	6615367	6639815	False	False	False	0.08273908370636998
rs3789572	112946	CAMTA1	chr1	6845514	7829766	True	False	True	0.4804484139783801
rs3789572	117995	NOL9	chr1	6581407	6614573	False	False	False	0.08273908370636998
rs3789572	152434	PLEKHG5	chr1	6527182	6580134	False	True	False	0.17679031224038508
rs3789572	206333	TNFRSF25	chr1	6520846	6526235	False	True	False	0.17679031224038508
rs3789572	211141	ESPN	chr1	6484836	6521427	False	False	False	0.08273908370636998
rs3789572	247838	HES2	chr1	6472478	6484730	False	False	False	0.08273908370636998
rs3789572	278741	ACOT7	chr1	6324329	6453827	False	True	False	0.17679031224038508
rs3789572	411410	GPR153	chr1	6307413	6321158	False	False	False	0.08273908370636998
rs3789572	426930	HES3	chr1	6304239	6305638	False	False	False	0.08273908370636998
rs3789572	436536	ICMT	chr1	6281253	6296032	False	False	False	0.08273908370636998
rs3789572	451209	RNF207	chr1	6265535	6281359	False	False	False	0.08273908370636998
rs3789572	463119	RPL22	chr1	6245080	6269449	False	False	False	0.08273908370636998
rs3789572	492187	CHD5	chr1	6161847	6240381	True	True	False	0.3898977023687237
rs1107284	5638	SLC45A1	chr1	8378174	8404227	False	True	False	0.17679031224038508
rs1107284	39921	RERE	chr1	8412457	8908980	True	False	True	0.4804484139783801
rs1107284	286167	ERRFI1	chr1	8064464	8086369	False	False	False	0.08273908370636998
rs1107284	326971	PARK7	chr1	8014351	8045565	False	False	False	0.08273908370636998
rs1107284	369311	TNFRSF9	chr1	7975931	8003225	False	False	False	0.08273908370636998
rs1107284	458964	UTS2	chr1	7903143	7913572	False	True	False	0.17679031224038508
rs1107284	467299	PER3	chr1	7844351	7905237	False	False	False	0.08273908370636998
rs301791	0	RERE	chr1	8412457	8908980	True	False	True	0.4804484139783801
rs301791	64145	SLC45A1	chr1	8378174	8404227	False	True	False	0.17679031224038508
rs301791	382003	ERRFI1	chr1	8064464	8086369	False	False	False	0.08273908370636998
rs301791	422807	PARK7	chr1	8014351	8045565	False	False	False	0.08273908370636998
rs301791	452687	ENO1	chr1	8921059	8939249	False	False	False	0.08273908370636998
rs301791	465147	TNFRSF9	chr1	7975931	8003225	False	False	False	0.08273908370636998
rs301790	0	RERE	chr1	8412457	8908980	True	False	True	0.4804484139783801
rs301790	65057	SLC45A1	chr1	8378174	8404227	False	True	False	0.17679031224038508
rs301790	382915	ERRFI1	chr1	8064464	8086369	False	False	False	0.08273908370636998
rs301790	423719	PARK7	chr1	8014351	8045565	False	False	False	0.08273908370636998
rs301790	451775	ENO1	chr1	8921059	8939249	False	False	False	0.08273908370636998
rs301790	466059	TNFRSF9	chr1	7975931	8003225	False	False	False	0.08273908370636998
rs301789	0	RERE	chr1	8412457	8908980	True	False	True	0.4804484139783801
rs301789	65110	SLC45A1	chr1	8378174	8404227	False	True	False	0.17679031224038508
rs301789	382968	ERRFI1	chr1	8064464	8086369	False	False	False	0.08273908370636998
rs301789	423772	PARK7	chr1	8014351	8045565	False	False	False	0.08273908370636998
rs301789	451722	ENO1	chr1	8921059	8939249	False	False	False	0.08273908370636998
rs301789	466112	TNFRSF9	chr1	7975931	8003225	False	False	False	0.08273908370636998
rs6577494	0	RERE	chr1	8412457	8908980	True	False	True	0.4804484139783801
rs6577494	172698	SLC45A1	chr1	8378174	8404227	False	True	False	0.17679031224038508
rs6577494	344134	ENO1	chr1	8921059	8939249	False	False	False	0.08273908370636998
rs6577494	429001	CA6	chr1	9005926	9035151	False	False	True	0.23708089352715983
rs6577494	486107	SLC2A7	chr1	9063032	9086482	False	False	False	0.08273908370636998
rs6577494	490556	ERRFI1	chr1	8064464	8086369	False	False	False	0.08273908370636998
rs61785969	0	PHACTR4	chr1	28696093	28826876	False	False	False	0.08273908370636998
rs61785969	36394	RCC1	chr1	28832455	28865812	False	False	False	0.08273908370636998
rs61785969	83536	TRNAU1AP	chr1	28879597	28905057	False	False	False	0.08273908370636998
rs61785969	118280	TAF12	chr1	28914341	28974803	False	False	False	0.08273908370636998
rs61785969	122651	RAB42	chr1	28918712	28921961	False	False	False	0.08273908370636998
rs61785969	133585	MED18	chr1	28655513	28662476	False	False	False	0.08273908370636998
rs61785969	187059	SESN2	chr1	28586029	28609002	False	False	False	0.08273908370636998
